Sales,Quantity,Profit,Discount,Ship Mode
503.96,4,131.0296,0,Second Class
149.95,5,41.986,0,Second Class
29,2,7.25,0,Second Class
18.648,7,-12.432,0.7,Standard Class
178.384,2,22.298,0.2,Standard Class
15.552,3,5.4432,0.2,Standard Class
9.568,2,3.4684,0.2,First Class
39.072,6,9.768,0.2,Standard Class
4.812,2,-3.6892,0.7,Standard Class
247.8,5,-18.585,0.2,Standard Class
19.456,4,3.4048,0.2,Second Class
13,5,1.3,0.2,Second Class
13.128,3,3.7743,0.2,Second Class
142.776,1,17.847,0.2,Standard Class
45.696,3,5.1408,0.2,Standard Class
7.218,3,-5.5338,0.7,Standard Class
43.188,4,-31.6712,0.7,Standard Class
131.904,3,47.8152,0.2,Standard Class
479.97,3,163.1898,0,First Class
14.62,2,6.8714,0,First Class
19.44,3,9.3312,0,First Class
104.01,1,14.5614,0,Second Class
284.82,1,74.0532,0,Second Class
36.84,3,10.3152,0,Second Class
10.368,2,3.6288,0.2,Standard Class
166.84,5,18.7695,0.2,Standard Class
15.216,1,2.2824,0.2,Standard Class
11.36,2,5.3392,0,Second Class
50.94,3,25.47,0,Second Class
646.74,6,258.696,0,Second Class
5.64,3,2.7072,0,Second Class
572.58,6,34.3548,0,Second Class
310.88,2,23.316,0.2,Standard Class
2.89,1,1.3583,0,Standard Class
51.94,1,21.2954,0,Standard Class
24.56,2,6.8768,0,Standard Class
4.608,2,1.6704,0.2,Second Class
2715.93,7,1276.4871,0,Standard Class
617.97,3,173.0316,0,Standard Class
699.93,7,181.9818,0,Standard Class
22.96,7,6.6584,0,Standard Class
38.6,4,11.58,0,Standard Class
6.63,3,1.7901,0,Standard Class
23.34,3,10.9698,0,Standard Class
1067.94,3,224.2674,0,Standard Class
122.48,2,0,0,First Class
2244.48,7,493.7856,0,First Class
62.31,3,29.2857,0,First Class
455.1,2,100.122,0,First Class
32.97,3,12.8583,0,First Class
83.88,4,30.1968,0,First Class
575.92,2,71.99,0.2,Standard Class
5.184,6,-3.6288,0.7,Standard Class
152.76,6,74.8524,0,Second Class
7.27,1,1.9629,0,Second Class
1819.86,14,163.7874,0,Second Class
40.05,3,11.214,0,Second Class
354.9,5,17.745,0,Same Day
96.256,8,31.2832,0.2,Standard Class
10.688,2,3.7408,0.2,Standard Class
7.644,4,-5.8604,0.7,Standard Class
51.465,5,-39.4565,0.7,Standard Class
1441.3,7,245.021,0,Second Class
17.544,3,5.9211,0.2,Standard Class
44.128,4,12.1352,0.2,Standard Class
62.92,1,10.2245,0.2,Standard Class
78.304,2,29.364,0.2,Standard Class
7.104,2,2.3976,0.2,First Class
398.352,8,-331.96,0.7,First Class
29.808,2,10.8054,0.2,Second Class
505.176,4,-336.784,0.7,Second Class
174.0585,3,-110.7645,0.45,Second Class
149.95,5,65.978,0,First Class
275.97,3,11.0388,0,Second Class
1394.95,5,362.687,0,Second Class
545.88,6,70.9644,0,Second Class
15,4,7.2,0,First Class
161.61,1,42.0186,0,First Class
144.95,5,42.0355,0,First Class
4.224,3,0.4752,0.2,Standard Class
333.056,2,29.1424,0.2,Standard Class
24.896,4,7.78,0.2,Standard Class
15.552,3,5.4432,0.2,Standard Class
14.67,3,3.9609,0,Standard Class
22.2,6,9.102,0,Standard Class
881.93,7,229.3018,0,Standard Class
2.816,2,0.9856,0.2,Standard Class
306.2,5,0,0,Standard Class
85.98,1,22.3548,0,Standard Class
223.96,4,53.7504,0,Standard Class
69.216,6,11.2476,0.2,Standard Class
10.368,2,3.6288,0.2,Standard Class
114.2,5,52.532,0,Standard Class
17.96,4,8.2616,0,Standard Class
12.67,7,4.5612,0,Standard Class
339.96,4,122.3856,0,Standard Class
16.23,3,7.9527,0,Standard Class
319.9,5,156.751,0,Standard Class
11.36,2,5.3392,0,Standard Class
675.12,3,290.3016,0,Standard Class
62.82,3,30.7818,0,Standard Class
489.92,8,0,0,Standard Class
19.44,3,9.3312,0,Standard Class
16.68,2,8.34,0,Standard Class
155.35,13,0,0,Standard Class
12.42,3,4.4712,0,Standard Class
187.98,2,52.6344,0,Standard Class
1.167,1,-0.8558,0.7,Standard Class
15.384,1,4.0383,0.2,Standard Class
821.3,4,-16.426,0.5,Standard Class
22638.48,6,-1811.0784,0.5,Standard Class
21.376,4,7.4816,0.2,Standard Class
8.016,3,1.002,0.2,Standard Class
30.768,2,8.0766,0.2,Standard Class
18.936,3,5.9175,0.2,Standard Class
122.352,3,15.294,0.2,Standard Class
302.376,3,37.797,0.2,Standard Class
8.376,3,2.7222,0.2,Second Class
58.24,5,5.096,0.2,Second Class
1139.92,4,284.98,0,Standard Class
51.96,2,12.99,0,Second Class
17.94,3,8.6112,0,Second Class
545.94,6,87.3504,0,Second Class
95.968,4,9.5968,0.2,Standard Class
135.98,2,33.995,0,Standard Class
44.95,1,12.586,0,Standard Class
22.96,7,7.5768,0,Second Class
28.99,1,8.4071,0,Second Class
12.96,2,6.3504,0,Second Class
22.96,7,6.6584,0,Second Class
4164.05,5,83.281,0,Second Class
47.984,2,13.1956,0.2,Standard Class
4.624,1,1.6762,0.2,Standard Class
43.512,7,3.8073,0.2,Standard Class
662.88,3,74.574,0.2,Standard Class
25.92,5,9.072,0.2,Standard Class
36.99,1,9.9873,0,Standard Class
629.1,6,301.968,0,Standard Class
193.95,3,9.6975,0,Standard Class
5.46,3,1.4742,0,Standard Class
471.92,2,29.495,0.2,Second Class
8.96,2,2.7776,0,First Class
579.95,5,168.1855,0,First Class
29.12,4,12.5216,0,First Class
1202.94,3,300.735,0,First Class
83.25,3,14.985,0,Same Day
9.45,3,4.536,0,Same Day
20.65,5,9.499,0,Same Day
45.36,7,21.7728,0,Same Day
142.4,5,52.688,0,Standard Class
7.16,2,3.4368,0,Standard Class
11.85,3,3.792,0,Same Day
1013.832,9,101.3832,0.2,Second Class
1.984,2,0.6696,0.2,Second Class
62.91,3,22.6476,0,Second Class
6.912,3,2.3328,0.2,Second Class
383.976,3,81.5949,0.2,Second Class
10.368,2,3.6288,0.2,Second Class
335.944,7,41.993,0.2,Second Class
170.352,3,10.647,0.2,Standard Class
4.368,3,0.3822,0.2,Standard Class
8.56,2,2.6536,0,Standard Class
239.97,3,67.1916,0,Standard Class
356.94,2,107.082,0,Standard Class
7.872,3,0.8856,0.2,Second Class
20.016,9,1.7514,0.2,First Class
3.104,1,0.3492,0.2,First Class
7.52,5,1.41,0.2,Standard Class
10.272,3,0.8988,0.2,Standard Class
47.808,12,15.5376,0.2,Standard Class
978.84,9,110.1195,0.2,Standard Class
638.82,9,172.4814,0,Standard Class
67.344,6,7.5762,0.2,Standard Class
2624.985,3,-944.9946,0.5,Standard Class
45,9,21.6,0,Standard Class
209.97,3,90.2871,0,Standard Class
629.95,5,163.787,0,Standard Class
122.97,3,60.2553,0,Standard Class
